Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price
NYT,NEW YORK TIMES CLASS A,Communication,Equity,"2,108,386.28",0.02,"2,108,386.28","44,044.00",47.87
HRB,H&R BLOCK INC,Consumer Discretionary,Equity,"2,105,940.07",0.02,"2,105,940.07","36,901.00",57.07
CRS,CARPENTER TECHNOLOGY CORP,Materials,Equity,"2,104,381.44",0.02,"2,104,381.44","12,544.00",167.76
APG,API GROUP CORP,Industrials,Equity,"2,101,550.88",0.02,"2,101,550.88","61,234.00",34.32
TTEK,TETRA TECH INC,Industrials,Equity,"2,099,287.96",0.02,"2,099,287.96","71,746.00",29.26
SF,STIFEL FINANCIAL CORP,Financials,Equity,"2,097,247.20",0.02,"2,097,247.20","26,160.00",80.17
HLI,HOULIHAN LOKEY INC CLASS A,Financials,Equity,"2,093,841.75",0.02,"2,093,841.75","13,945.00",150.15
FND,FLOOR DECOR HOLDINGS INC CLASS A,Consumer Discretionary,Equity,"2,084,362.24",0.02,"2,084,362.24","28,076.00",74.24
LAD,LITHIA MOTORS INC CLASS A,Consumer Discretionary,Equity,"2,080,623.63",0.02,"2,080,623.63","7,113.00",292.51
TECH,BIO TECHNE CORP,Health Care,Equity,"2,081,629.08",0.02,"2,081,629.08","42,258.00",49.26
ALSN,ALLISON TRANSMISSION HOLDINGS INC,Industrials,Equity,"2,071,992.14",0.02,"2,071,992.14","23,378.00",88.63
SNX,TD SYNNEX CORP,Information Technology,Equity,"2,066,842.05",0.02,"2,066,842.05","20,293.00",101.85
WBA,WALGREEN BOOTS ALLIANCE INC,Consumer Staples,Equity,"2,062,507.22",0.02,"2,062,507.22","192,938.00",10.69
DCI,DONALDSON INC,Industrials,Equity,"2,045,729.40",0.02,"2,045,729.40","32,916.00",62.15
WYNN,WYNN RESORTS LTD,Consumer Discretionary,Equity,"2,042,475.00",0.01,"2,042,475.00","28,250.00",72.30
JEF,JEFFERIES FINANCIAL GROUP INC,Financials,Equity,"2,034,890.38",0.01,"2,034,890.38","47,846.00",42.53
RRC,RANGE RESOURCES CORP,Energy,Equity,"2,028,138.00",0.01,"2,028,138.00","62,888.00",32.25
AOS,A O SMITH CORP,Industrials,Equity,"2,016,806.73",0.01,"2,016,806.73","32,079.00",62.87
AYI,ACUITY INC,Industrials,Equity,"2,015,676.01",0.01,"2,015,676.01","8,621.00",233.81
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,Equity,"2,010,496.00",0.01,"2,010,496.00","22,600.00",88.96
EGP,EASTGROUP PROPERTIES REIT INC,Real Estate,Equity,"2,003,906.24",0.01,"2,003,906.24","13,168.00",152.18
ADC,AGREE REALTY REIT CORP,Real Estate,Equity,"2,002,769.30",0.01,"2,002,769.30","27,454.00",72.95
WMS,ADVANCED DRAINAGE SYSTEMS INC,Industrials,Equity,"1,995,930.20",0.01,"1,995,930.20","19,303.00",103.40
ROKU,ROKU INC CLASS A,Communication,Equity,"1,994,494.77",0.01,"1,994,494.77","33,651.00",59.27
BERY,BERRY GLOBAL GROUP INC,Materials,Equity,"1,992,082.50",0.01,"1,992,082.50","30,885.00",64.50
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,Equity,"1,991,260.04",0.01,"1,991,260.04","19,444.00",102.41
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,Equity,"1,986,450.00",0.01,"1,986,450.00","17,425.00",114.00
WBS,WEBSTER FINANCIAL CORP,Financials,Equity,"1,985,039.50",0.01,"1,985,039.50","47,050.00",42.19
MORN,MORNINGSTAR INC,Financials,Equity,"1,972,320.20",0.01,"1,972,320.20","7,286.00",270.70
AES,AES CORP,Utilities,Equity,"1,966,785.00",0.01,"1,966,785.00","190,950.00",10.30
EXP,EAGLE MATERIALS INC,Materials,Equity,"1,967,175.05",0.01,"1,967,175.05","9,085.00",216.53
BECN,BEACON ROOFING SUPPLY INC,Industrials,Equity,"1,965,416.80",0.01,"1,965,416.80","15,992.00",122.90
AXS,AXIS CAPITAL HOLDINGS LTD,Financials,Equity,"1,951,603.50",0.01,"1,951,603.50","21,350.00",91.41
MTCH,MATCH GROUP INC,Communication,Equity,"1,951,812.72",0.01,"1,951,812.72","69,509.00",28.08
COHR,COHERENT CORP,Information Technology,Equity,"1,944,225.36",0.01,"1,944,225.36","35,069.00",55.44
MTZ,MASTEC INC,Industrials,Equity,"1,944,629.06",0.01,"1,944,629.06","16,901.00",115.06
BRX,BRIXMOR PROPERTY GROUP REIT INC,Real Estate,Equity,"1,945,212.10",0.01,"1,945,212.10","80,882.00",24.05
RYAN,RYAN SPECIALTY HOLDINGS INC CLASS,Financials,Equity,"1,943,585.35",0.01,"1,943,585.35","27,013.00",71.95
OLLI,OLLIES BARGAIN OUTLET HOLDINGS INC,Consumer Discretionary,Equity,"1,940,425.50",0.01,"1,940,425.50","17,134.00",113.25
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Discretionary,Equity,"1,941,280.66",0.01,"1,941,280.66","116,314.00",16.69
CPB,CAMPBELL SOUP,Consumer Staples,Equity,"1,933,920.42",0.01,"1,933,920.42","51,189.00",37.78
MEDP,MEDPACE HOLDINGS INC,Health Care,Equity,"1,932,548.85",0.01,"1,932,548.85","6,845.00",282.33
DVA,DAVITA INC,Health Care,Equity,"1,925,741.52",0.01,"1,925,741.52","12,557.00",153.36
SEIC,SEI INVESTMENTS,Financials,Equity,"1,925,823.36",0.01,"1,925,823.36","27,109.00",71.04
AGNC,AGNC INVESTMENT REIT CORP,Financials,Equity,"1,924,699.84",0.01,"1,924,699.84","237,032.00",8.12
CR,CRANE,Industrials,Equity,"1,923,008.82",0.01,"1,923,008.82","13,683.00",140.54
ENSG,ENSIGN GROUP INC,Health Care,Equity,"1,923,394.47",0.01,"1,923,394.47","15,063.00",127.69
HALO,HALOZYME THERAPEUTICS INC,Health Care,Equity,"1,923,660.30",0.01,"1,923,660.30","33,339.00",57.70
NNN,NNN REIT INC,Real Estate,Equity,"1,920,603.06",0.01,"1,920,603.06","49,158.00",39.07
HAS,HASBRO INC,Consumer Discretionary,Equity,"1,909,644.00",0.01,"1,909,644.00","37,444.00",51.00
MIDD,MIDDLEBY CORP,Industrials,Equity,"1,910,028.85",0.01,"1,910,028.85","14,515.00",131.59
GPK,GRAPHIC PACKAGING HOLDING,Materials,Equity,"1,901,288.64",0.01,"1,901,288.64","78,436.00",24.24
PR,PERMIAN RESOURCES CORP CLASS A,Energy,Equity,"1,897,146.24",0.01,"1,897,146.24","179,654.00",10.56
CBSH,COMMERCE BANCSHARES INC,Financials,Equity,"1,893,940.14",0.01,"1,893,940.14","33,706.00",56.19
WING,WINGSTOP INC,Consumer Discretionary,Equity,"1,889,159.98",0.01,"1,889,159.98","7,862.00",240.29
SCCO,SOUTHERN COPPER CORP,Materials,Equity,"1,881,419.76",0.01,"1,881,419.76","22,989.00",81.84
TTC,TORO,Industrials,Equity,"1,876,885.26",0.01,"1,876,885.26","28,173.00",66.62
LNTH,LANTHEUS HOLDINGS INC,Health Care,Equity,"1,870,901.92",0.01,"1,870,901.92","18,992.00",98.51
LNW,LIGHT WONDER INC,Consumer Discretionary,Equity,"1,860,728.52",0.01,"1,860,728.52","23,828.00",78.09
CMA,COMERICA INC,Financials,Equity,"1,857,880.80",0.01,"1,857,880.80","36,216.00",51.30
HQY,HEALTHEQUITY INC,Health Care,Equity,"1,853,968.48",0.01,"1,853,968.48","23,192.00",79.94
ESTC,ELASTIC NV,Information Technology,Equity,"1,851,566.34",0.01,"1,851,566.34","23,503.00",78.78
AXTA,AXALTA COATING SYSTEMS LTD,Materials,Equity,"1,849,373.34",0.01,"1,849,373.34","61,197.00",30.22
AZEK,AZEK COMPANY INC CLASS A,Industrials,Equity,"1,847,300.58",0.01,"1,847,300.58","39,933.00",46.26
PNFP,PINNACLE FINANCIAL PARTNERS INC,Financials,Equity,"1,845,351.57",0.01,"1,845,351.57","20,429.00",90.33
COOP,MR COOPER GROUP INC,Financials,Equity,"1,844,325.84",0.01,"1,844,325.84","16,989.00",108.56
REXR,REXFORD INDUSTRIAL REALTY REIT INC,Real Estate,Equity,"1,837,795.66",0.01,"1,837,795.66","57,539.00",31.94
NFG,NATIONAL FUEL GAS,Utilities,Equity,"1,829,423.48",0.01,"1,829,423.48","24,742.00",73.94
RKLB,ROCKET LAB USA INC CLASS A,Industrials,Equity,"1,826,610.76",0.01,"1,826,610.76","93,052.00",19.63
CAVA,CAVA GROUP INC,Consumer Discretionary,Equity,"1,803,451.32",0.01,"1,803,451.32","20,316.00",88.77
WAL,WESTERN ALLIANCE,Financials,Equity,"1,801,485.93",0.01,"1,801,485.93","28,491.00",63.23
EXLS,EXLSERVICE HOLDINGS INC,Industrials,Equity,"1,797,116.50",0.01,"1,797,116.50","40,825.00",44.02
KBR,KBR INC,Industrials,Equity,"1,798,031.40",0.01,"1,798,031.40","36,732.00",48.95
ENPH,ENPHASE ENERGY INC,Information Technology,Equity,"1,795,905.72",0.01,"1,795,905.72","36,237.00",49.56
PRMB,PRIMO BRANDS CLASS A CORP,Consumer Staples,Equity,"1,791,916.86",0.01,"1,791,916.86","53,538.00",33.47
CART,MAPLEBEAR INC,Consumer Staples,Equity,"1,788,299.40",0.01,"1,788,299.40","46,329.00",38.60
RLI,RLI CORP,Financials,Equity,"1,775,442.90",0.01,"1,775,442.90","23,254.00",76.35
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Equity,"1,771,776.25",0.01,"1,771,776.25","61,627.00",28.75
UGI,UGI CORP,Utilities,Equity,"1,759,890.24",0.01,"1,759,890.24","56,844.00",30.96
MASI,MASIMO CORP,Health Care,Equity,"1,757,738.47",0.01,"1,757,738.47","11,603.00",151.49
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Consumer Discretionary,Equity,"1,749,440.36",0.01,"1,749,440.36","15,097.00",115.88
CFR,CULLEN FROST BANKERS INC,Financials,Equity,"1,743,904.66",0.01,"1,743,904.66","16,318.00",106.87
CVLT,COMMVAULT SYSTEMS INC,Information Technology,Equity,"1,743,255.85",0.01,"1,743,255.85","11,515.00",151.39
UFPI,UFP INDUSTRIES INC,Industrials,Equity,"1,741,620.77",0.01,"1,741,620.77","16,463.00",105.79
FN,FABRINET,Information Technology,Equity,"1,740,073.20",0.01,"1,740,073.20","9,519.00",182.80
SKX,SKECHERS USA INC CLASS A,Consumer Discretionary,Equity,"1,736,379.75",0.01,"1,736,379.75","35,185.00",49.35
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,Equity,"1,733,656.11",0.01,"1,733,656.11","12,143.00",142.77
CELH,CELSIUS HOLDINGS INC,Consumer Staples,Equity,"1,732,106.48",0.01,"1,732,106.48","47,416.00",36.53
SSD,SIMPSON MANUFACTURING INC,Industrials,Equity,"1,730,793.64",0.01,"1,730,793.64","11,708.00",147.83
KD,KYNDRYL HOLDINGS INC,Information Technology,Equity,"1,731,291.35",0.01,"1,731,291.35","59,515.00",29.09
ESAB,ESAB CORP,Industrials,Equity,"1,723,378.51",0.01,"1,723,378.51","15,239.00",113.09
WCC,WESCO INTERNATIONAL INC,Industrials,Equity,"1,724,342.12",0.01,"1,724,342.12","11,743.00",146.84
DOCS,DOXIMITY INC CLASS A,Health Care,Equity,"1,721,973.87",0.01,"1,721,973.87","33,391.00",51.57
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,Industrials,Equity,"1,721,137.77",0.01,"1,721,137.77","42,403.00",40.59
PCOR,PROCORE TECHNOLOGIES INC,Information Technology,Equity,"1,721,796.78",0.01,"1,721,796.78","28,347.00",60.74
ALAB,ASTERA LABS INC,Information Technology,Equity,"1,718,476.56",0.01,"1,718,476.56","29,196.00",58.86
ALB,ALBEMARLE CORP,Materials,Equity,"1,706,350.19",0.01,"1,706,350.19","31,189.00",54.71
BBWI,BATH AND BODY WORKS INC,Consumer Discretionary,Equity,"1,705,286.42",0.01,"1,705,286.42","61,741.00",27.62
RGEN,REPLIGEN CORP,Health Care,Equity,"1,700,319.59",0.01,"1,700,319.59","14,761.00",115.19
GNRC,GENERAC HOLDINGS INC,Industrials,Equity,"1,698,242.65",0.01,"1,698,242.65","15,665.00",108.41
ZION,ZIONS BANCORPORATION,Financials,Equity,"1,694,595.47",0.01,"1,694,595.47","39,901.00",42.47
FBIN,FORTUNE BRANDS INNOVATIONS INC,Industrials,Equity,"1,695,545.28",0.01,"1,695,545.28","32,936.00",51.48
RRX,REGAL REXNORD CORP,Industrials,Equity,"1,692,286.72",0.01,"1,692,286.72","17,504.00",96.68
JAZZ,JAZZ PHARMACEUTICALS PLC,Health Care,Equity,"1,693,009.50",0.01,"1,693,009.50","16,590.00",102.05
BROS,DUTCH BROS INC CLASS A,Consumer Discretionary,Equity,"1,683,826.54",0.01,"1,683,826.54","29,546.00",56.99
PARA,PARAMOUNT GLOBAL CLASS B,Communication,Equity,"1,681,461.60",0.01,"1,681,461.60","153,980.00",10.92
WTFC,WINTRUST FINANCIAL CORP,Financials,Equity,"1,680,185.74",0.01,"1,680,185.74","17,261.00",97.34
EVR,EVERCORE INC CLASS A,Financials,Equity,"1,675,875.04",0.01,"1,675,875.04","9,583.00",174.88
AAL,AMERICAN AIRLINES GROUP INC,Industrials,Equity,"1,673,141.85",0.01,"1,673,141.85","175,935.00",9.51
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology,Equity,"1,667,934.54",0.01,"1,667,934.54","16,802.00",99.27
TFX,TELEFLEX INC,Health Care,Equity,"1,667,197.19",0.01,"1,667,197.19","12,917.00",129.07
IDA,IDACORP INC,Utilities,Equity,"1,664,672.31",0.01,"1,664,672.31","14,439.00",115.29
FAF,FIRST AMERICAN FINANCIAL CORP,Financials,Equity,"1,665,584.62",0.01,"1,665,584.62","27,769.00",59.98
WH,WYNDHAM HOTELS RESORTS INC,Consumer Discretionary,Equity,"1,660,560.00",0.01,"1,660,560.00","20,128.00",82.50
AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,Equity,"1,619,516.60",0.01,"1,619,516.60","12,220.00",132.53
MTG,MGIC INVESTMENT CORP,Financials,Equity,"1,614,464.39",0.01,"1,614,464.39","69,559.00",23.21
UMBF,UMB FINANCIAL CORP,Financials,Equity,"1,606,087.08",0.01,"1,606,087.08","18,222.00",88.14
SPXC,SPX TECHNOLOGIES INC,Industrials,Equity,"1,606,510.28",0.01,"1,606,510.28","12,394.00",129.62
U,UNITY SOFTWARE INC,Information Technology,Equity,"1,602,910.80",0.01,"1,602,910.80","84,010.00",19.08
AA,ALCOA CORP,Materials,Equity,"1,600,488.75",0.01,"1,600,488.75","67,389.00",23.75
DBX,DROPBOX INC CLASS A,Information Technology,Equity,"1,601,132.08",0.01,"1,601,132.08","59,126.00",27.08
PB,PROSPERITY BANCSHARES INC,Financials,Equity,"1,599,614.80",0.01,"1,599,614.80","24,920.00",64.19
ESNT,ESSENT GROUP LTD,Financials,Equity,"1,598,225.67",0.01,"1,598,225.67","29,493.00",54.19
ONTO,ONTO INNOVATION INC,Information Technology,Equity,"1,594,467.27",0.01,"1,594,467.27","13,509.00",118.03
BPOP,POPULAR INC,Financials,Equity,"1,592,509.19",0.01,"1,592,509.19","19,343.00",82.33
TREX,TREX INC,Industrials,Equity,"1,578,920.66",0.01,"1,578,920.66","28,739.00",54.94
AUR,AURORA INNOVATION INC CLASS A,Information Technology,Equity,"1,578,969.00",0.01,"1,578,969.00","247,100.00",6.39
FOX,FOX CORP CLASS B,Communication,Equity,"1,578,419.06",0.01,"1,578,419.06","34,306.00",46.01
CORT,CORCEPT THERAPEUTICS INC,Health Care,Equity,"1,571,403.73",0.01,"1,571,403.73","23,201.00",67.73
BSY,BENTLEY SYSTEMS INC CLASS B,Information Technology,Equity,"1,569,651.20",0.01,"1,569,651.20","37,732.00",41.60
VNO,VORNADO REALTY TRUST REIT,Real Estate,Equity,"1,570,020.00",0.01,"1,570,020.00","47,750.00",32.88
POST,POST HOLDINGS INC,Consumer Staples,Equity,"1,557,671.66",0.01,"1,557,671.66","13,477.00",115.58
STAG,STAG INDUSTRIAL REIT INC,Real Estate,Equity,"1,556,494.80",0.01,"1,556,494.80","50,372.00",30.90
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology,Equity,"1,554,796.98",0.01,"1,554,796.98","36,861.00",42.18
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,Equity,"1,551,577.72",0.01,"1,551,577.72","46,123.00",33.64
FR,FIRST INDUSTRIAL REALTY TRUST INC,Real Estate,Equity,"1,552,499.52",0.01,"1,552,499.52","34,716.00",44.72
VMI,VALMONT INDS INC,Industrials,Equity,"1,545,178.80",0.01,"1,545,178.80","5,555.00",278.16
ONB,OLD NATIONAL BANCORP,Financials,Equity,"1,545,382.31",0.01,"1,545,382.31","84,401.00",18.31
ATI,ATI INC,Materials,Equity,"1,542,459.66",0.01,"1,542,459.66","33,257.00",46.38
SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Industrials,Equity,"1,540,661.44",0.01,"1,540,661.44","13,639.00",112.96
R,RYDER SYSTEM INC,Industrials,Equity,"1,529,615.12",0.01,"1,529,615.12","11,033.00",138.64
OSK,OSHKOSH CORP,Industrials,Equity,"1,523,523.68",0.01,"1,523,523.68","18,032.00",84.49
FCN,FTI CONSULTING INC,Industrials,Equity,"1,520,284.92",0.01,"1,520,284.92","9,471.00",160.52
HR,HEALTHCARE REALTY TRUST INC CLASS,Real Estate,Equity,"1,519,107.80",0.01,"1,519,107.80","100,205.00",15.16
SLM,SLM CORP,Financials,Equity,"1,508,001.10",0.01,"1,508,001.10","58,495.00",25.78
FLR,FLUOR CORP,Industrials,Equity,"1,508,951.03",0.01,"1,508,951.03","45,629.00",33.07
LRN,STRIDE INC,Consumer Discretionary,Equity,"1,504,173.78",0.01,"1,504,173.78","11,247.00",133.74
GTLB,GITLAB INC CLASS A,Information Technology,Equity,"1,501,807.16",0.01,"1,501,807.16","34,942.00",42.98
OPCH,OPTION CARE HEALTH INC,Health Care,Equity,"1,500,148.32",0.01,"1,500,148.32","44,528.00",33.69
FLS,FLOWSERVE CORP,Industrials,Equity,"1,498,601.58",0.01,"1,498,601.58","35,826.00",41.83
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,Equity,"1,498,668.38",0.01,"1,498,668.38","27,086.00",55.33
SNV,SYNOVUS FINANCIAL CORP,Financials,Equity,"1,497,645.36",0.01,"1,497,645.36","37,848.00",39.57
RVMD,REVOLUTION MEDICINES INC,Health Care,Equity,"1,492,961.47",0.01,"1,492,961.47","44,341.00",33.67
BMI,BADGER METER INC,Information Technology,Equity,"1,483,228.14",0.01,"1,483,228.14","8,142.00",182.17
STWD,STARWOOD PROPERTY TRUST REIT INC,Financials,Equity,"1,483,417.47",0.01,"1,483,417.47","84,333.00",17.59
BWA,BORGWARNER INC,Consumer Discretionary,Equity,"1,483,597.65",0.01,"1,483,597.65","57,795.00",25.67
THG,HANOVER INSURANCE GROUP INC,Financials,Equity,"1,482,067.92",0.01,"1,482,067.92","9,498.00",156.04
CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,Equity,"1,473,885.85",0.01,"1,473,885.85","57,913.00",25.45
KEX,KIRBY CORP,Industrials,Equity,"1,471,198.04",0.01,"1,471,198.04","15,782.00",93.22
VOYA,VOYA FINANCIAL INC,Financials,Equity,"1,469,737.50",0.01,"1,469,737.50","26,250.00",55.99
CHRD,CHORD ENERGY CORP,Energy,Equity,"1,466,399.97",0.01,"1,466,399.97","17,073.00",85.89
ALK,ALASKA AIR GROUP INC,Industrials,Equity,"1,463,933.90",0.01,"1,463,933.90","32,890.00",44.51
APA,APA CORP,Energy,Equity,"1,460,262.80",0.01,"1,460,262.80","100,018.00",14.60
NXT,NEXTRACKER INC CLASS A,Industrials,Equity,"1,461,189.25",0.01,"1,461,189.25","38,707.00",37.75
UHALB,U HAUL NON VOTING SERIES N,Industrials,Equity,"1,456,162.53",0.01,"1,456,162.53","26,951.00",54.03
LPX,LOUISIANA PACIFIC CORP,Materials,Equity,"1,452,368.76",0.01,"1,452,368.76","16,959.00",85.64
QRVO,QORVO INC,Information Technology,Equity,"1,450,978.88",0.01,"1,450,978.88","26,324.00",55.12
HLNE,HAMILTON LANE INC CLASS A,Financials,Equity,"1,451,667.98",0.01,"1,451,667.98","10,514.00",138.07
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,Equity,"1,449,089.32",0.01,"1,449,089.32","16,844.00",86.03
COLD,AMERICOLD REALTY INC TRUST,Real Estate,Equity,"1,445,103.36",0.01,"1,445,103.36","76,704.00",18.84
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care,Equity,"1,441,164.15",0.01,"1,441,164.15","4,689.00",307.35
MHK,MOHAWK INDUSTRIES INC,Consumer Discretionary,Equity,"1,440,219.60",0.01,"1,440,219.60","13,980.00",103.02
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,Equity,"1,435,644.32",0.01,"1,435,644.32","37,543.00",38.24
BEN,FRANKLIN RESOURCES INC,Financials,Equity,"1,436,206.00",0.01,"1,436,206.00","81,050.00",17.72
MMSI,MERIT MEDICAL SYSTEMS INC,Health Care,Equity,"1,433,791.02",0.01,"1,433,791.02","15,663.00",91.54
CROX,CROCS INC,Consumer Discretionary,Equity,"1,430,303.50",0.01,"1,430,303.50","14,977.00",95.50
MTN,VAIL RESORTS INC,Consumer Discretionary,Equity,"1,430,610.86",0.01,"1,430,610.86","10,234.00",139.79
AM,ANTERO MIDSTREAM CORP,Energy,Equity,"1,425,722.28",0.01,"1,425,722.28","89,781.00",15.88
AAON,AAON INC,Industrials,Equity,"1,423,192.74",0.01,"1,423,192.74","17,697.00",80.42
XP,XP CLASS A INC,Financials,Equity,"1,419,313.68",0.01,"1,419,313.68","109,854.00",12.92
ACIW,ACI WORLDWIDE INC,Information Technology,Equity,"1,415,090.05",0.01,"1,415,090.05","27,785.00",50.93
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,Equity,"1,398,707.31",0.01,"1,398,707.31","46,577.00",30.03
ARW,ARROW ELECTRONICS INC,Information Technology,Equity,"1,398,476.20",0.01,"1,398,476.20","14,465.00",96.68
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,Equity,"1,388,805.25",0.01,"1,388,805.25","13,895.00",99.95
RHI,ROBERT HALF,Industrials,Equity,"1,385,693.50",0.01,"1,385,693.50","28,571.00",48.50
AGCO,AGCO CORP,Industrials,Equity,"1,383,340.26",0.01,"1,383,340.26","16,486.00",83.91
LOPE,GRAND CANYON EDUCATION INC,Consumer Discretionary,Equity,"1,383,428.13",0.01,"1,383,428.13","8,123.00",170.31
CFLT,CONFLUENT INC CLASS A,Information Technology,Equity,"1,381,103.70",0.01,"1,381,103.70","65,085.00",21.22
GTLS,CHART INDUSTRIES INC,Industrials,Equity,"1,381,140.30",0.01,"1,381,140.30","11,345.00",121.74
MSA,MSA SAFETY INC,Industrials,Equity,"1,378,267.05",0.01,"1,378,267.05","9,715.00",141.87
CTRE,CARETRUST REIT INC,Real Estate,Equity,"1,377,080.56",0.01,"1,377,080.56","49,768.00",27.67
TRNO,TERRENO REALTY REIT CORP,Real Estate,Equity,"1,377,436.92",0.01,"1,377,436.92","25,527.00",53.96
KNF,KNIFE RIVER CORP,Materials,Equity,"1,375,829.24",0.01,"1,375,829.24","15,412.00",89.27
OLED,UNIVERSAL DISPLAY CORP,Information Technology,Equity,"1,375,375.42",0.01,"1,375,375.42","12,722.00",108.11
IONQ,IONQ INC,Information Technology,Equity,"1,373,619.84",0.01,"1,373,619.84","53,056.00",25.89
WEX,WEX INC,Financials,Equity,"1,371,925.47",0.01,"1,371,925.47","11,031.00",124.37
SITE,SITEONE LANDSCAPE SUPPLY INC,Industrials,Equity,"1,369,912.80",0.01,"1,369,912.80","12,336.00",111.05
BPMC,BLUEPRINT MEDICINES CORP,Health Care,Equity,"1,367,238.91",0.01,"1,367,238.91","17,033.00",80.27
RMBS,RAMBUS INC,Information Technology,Equity,"1,363,432.64",0.01,"1,363,432.64","29,486.00",46.24
HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,Equity,"1,359,669.15",0.01,"1,359,669.15","50,715.00",26.81
APPF,APPFOLIO INC CLASS A,Information Technology,Equity,"1,358,090.56",0.01,"1,358,090.56","6,089.00",223.04
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,Equity,"1,357,552.00",0.01,"1,357,552.00","3,400.00",399.28
GH,GUARDANT HEALTH INC,Health Care,Equity,"1,355,398.44",0.01,"1,355,398.44","32,946.00",41.14
ETSY,ETSY INC,Consumer Discretionary,Equity,"1,345,663.24",0.01,"1,345,663.24","30,878.00",43.58
FOUR,SHIFT4 PAYMENTS INC CLASS A,Financials,Equity,"1,344,707.90",0.01,"1,344,707.90","17,054.00",78.85
LNC,LINCOLN NATIONAL CORP,Financials,Equity,"1,341,410.32",0.01,"1,341,410.32","45,044.00",29.78
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Equity,"1,341,088.92",0.01,"1,341,088.92","7,074.00",189.58
CMC,COMMERCIAL METALS,Materials,Equity,"1,337,651.55",0.01,"1,337,651.55","31,963.00",41.85
GATX,GATX CORP,Industrials,Equity,"1,335,410.10",0.01,"1,335,410.10","9,103.00",146.70
HOMB,HOME BANCSHARES INC,Financials,Equity,"1,332,727.20",0.01,"1,332,727.20","52,886.00",25.20
IDCC,INTERDIGITAL INC,Information Technology,Equity,"1,330,753.50",0.01,"1,330,753.50","6,570.00",202.55
GNTX,GENTEX CORP,Consumer Discretionary,Equity,"1,324,815.15",0.01,"1,324,815.15","63,237.00",20.95
MAT,MATTEL INC,Consumer Discretionary,Equity,"1,319,167.78",0.01,"1,319,167.78","89,314.00",14.77
JXN,JACKSON FINANCIAL INC CLASS A,Financials,Equity,"1,316,132.70",0.01,"1,316,132.70","18,498.00",71.15
H,HYATT HOTELS CORP CLASS A,Consumer Discretionary,Equity,"1,310,970.00",0.01,"1,310,970.00","11,784.00",111.25
RITM,RITHM CAPITAL CORP,Financials,Equity,"1,309,597.08",0.01,"1,309,597.08","136,844.00",9.57
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,Equity,"1,303,820.07",0.01,"1,303,820.07","41,117.00",31.71
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,Equity,"1,302,799.76",0.01,"1,302,799.76","15,608.00",83.47
S,SENTINELONE INC CLASS A,Information Technology,Equity,"1,301,255.65",0.01,"1,301,255.65","74,315.00",17.51
SN,SHARKNINJA INC,Consumer Discretionary,Equity,"1,297,692.63",0.01,"1,297,692.63","17,823.00",72.81
TGTX,TG THERAPEUTICS INC,Health Care,Equity,"1,295,100.10",0.01,"1,295,100.10","35,995.00",35.98
AMG,AFFILIATED MANAGERS GROUP INC,Financials,Equity,"1,294,257.90",0.01,"1,294,257.90","8,430.00",153.53
LSTR,LANDSTAR SYSTEM INC,Industrials,Equity,"1,291,768.74",0.01,"1,291,768.74","9,302.00",138.87
SPSC,SPS COMMERCE INC,Information Technology,Equity,"1,287,922.08",0.01,"1,287,922.08","9,901.00",130.08
BCPC,BALCHEM CORP,Materials,Equity,"1,283,371.98",0.01,"1,283,371.98","8,222.00",156.09
VNT,VONTIER CORP,Information Technology,Equity,"1,282,046.79",0.01,"1,282,046.79","43,123.00",29.73
IVZ,INVESCO LTD,Financials,Equity,"1,280,877.84",0.01,"1,280,877.84","100,936.00",12.69
OMF,ONEMAIN HOLDINGS INC,Financials,Equity,"1,279,672.92",0.01,"1,279,672.92","29,746.00",43.02
PATH,UIPATH INC CLASS A,Information Technology,Equity,"1,276,259.06",0.01,"1,276,259.06","120,062.00",10.63
