Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price
ARES,ARES MANAGEMENT CORP CLASS A,Financials,Equity,"6,835,340.65",0.05,"6,835,340.65","50,345.00",135.77
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity,"6,705,702.43",0.05,"6,705,702.43","183,869.00",36.47
EQR,EQUITY RESIDENTIAL REIT,Real Estate,Equity,"6,591,402.66",0.05,"6,591,402.66","102,558.00",64.27
CPNG,COUPANG INC CLASS A,Consumer Discretionary,Equity,"6,549,942.00",0.05,"6,549,942.00","311,902.00",21.00
IP,INTERNATIONAL PAPER,Materials,Equity,"6,536,699.40",0.05,"6,536,699.40","141,487.00",46.20
VRT,VERTIV HOLDINGS CLASS A,Industrials,Equity,"6,530,052.49",0.05,"6,530,052.49","96,413.00",67.73
DD,DUPONT DE NEMOURS INC,Materials,Equity,"6,493,957.50",0.05,"6,493,957.50","112,625.00",57.66
IRM,IRON MOUNTAIN INC,Real Estate,Equity,"6,470,646.84",0.05,"6,470,646.84","79,268.00",81.63
LEN,LENNAR A CORP CLASS A,Consumer Discretionary,Equity,"6,470,752.23",0.05,"6,470,752.23","61,927.00",104.49
GDDY,GODADDY INC CLASS A,Information Technology,Equity,"6,441,266.00",0.05,"6,441,266.00","38,114.00",169.00
LPLA,LPL FINANCIAL HOLDINGS INC,Financials,Equity,"6,430,428.78",0.05,"6,430,428.78","21,326.00",301.53
HSY,HERSHEY FOODS,Consumer Staples,Equity,"6,394,095.03",0.05,"6,394,095.03","38,967.00",164.09
TYL,TYLER TECHNOLOGIES INC,Information Technology,Equity,"6,372,696.11",0.05,"6,372,696.11","11,429.00",557.59
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,"6,282,514.76",0.05,"6,282,514.76","51,011.00",123.16
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,Equity,"6,256,662.18",0.05,"6,256,662.18","46,898.00",133.41
STT,STATE STREET CORP,Financials,Equity,"6,247,083.00",0.05,"6,247,083.00","79,077.00",79.00
ATO,ATMOS ENERGY CORP,Utilities,Equity,"6,240,471.29",0.05,"6,240,471.29","41,801.00",149.29
CNP,CENTERPOINT ENERGY INC,Utilities,Equity,"6,239,300.76",0.05,"6,239,300.76","172,404.00",36.19
FE,FIRSTENERGY CORP,Utilities,Equity,"6,215,713.96",0.05,"6,215,713.96","155,044.00",40.09
FITB,FIFTH THIRD BANCORP,Financials,Equity,"6,151,613.37",0.05,"6,151,613.37","181,839.00",33.83
EXE,EXPAND ENERGY CORP,Energy,Equity,"6,134,071.90",0.04,"6,134,071.90","61,618.00",99.55
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,"6,129,642.66",0.04,"6,129,642.66","12,646.00",484.71
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,Equity,"6,089,503.40",0.04,"6,089,503.40","28,697.00",212.20
PPG,PPG INDUSTRIES INC,Materials,Equity,"6,084,227.50",0.04,"6,084,227.50","61,750.00",98.53
MKL,MARKEL GROUP INC,Financials,Equity,"6,051,062.16",0.04,"6,051,062.16","3,432.00","1,763.13"
